"ID";"Jugador";"Pais";"Equipo";"Posicion";"Edad";"Nacimiento";"Partidos_jugados";"Partidos_titular";"Minutos_totales";"X90s";"Tarjetas_amarillas";"Tarjetas_rojas";"Segundas_tarjetas_amarillas";"Faltas_comprometidas";"Faltas_pitadas";"Fuera_de_juego"
4;"Francesco Acerbi";"IT";"Inter ";"DF";34;1988;12;10;921;"10,23";1;0;0;6;9;1
37;"Kristjan Asllani";"IT";"Inter ";"MF";20;2002;5;1;129;"1,43";0;0;0;1;2;0
54;"Nicolò Barella";"IT";"Inter ";"MF";25;1997;12;12;991;"11,01";3;0;0;17;13;3
60;"Alessandro Bastoni";"IT";"Inter ";"DF";23;1999;12;12;983;"10,92";2;0;0;13;7;0
63;"Raoul Bellanova";"IT";"Inter ";"DF,MF";22;2000;3;1;120;"1,33";0;0;0;0;1;0
92;"Marcelo Brozović";"IT";"Inter ";"MF";29;1992;9;5;549;"6,10";1;0;0;7;5;0
101;"Hakan Çalhanoğlu";"IT";"Inter ";"MF";28;1994;12;9;804;"8,93";1;0;0;15;13;1
107;"Valentin Carboni";"IT";"Inter ";"FW";17;2005;1;0;15;"0,17";1;0;0;1;0;0
139;"Joaquín Correa";"IT";"Inter ";"FW";27;1994;9;3;304;"3,38";0;0;0;3;4;3
147;"Danilo D'Ambrosio";"IT";"Inter ";"DF";33;1988;6;1;161;"1,79";0;0;0;3;4;1
151;"Matteo Darmian";"IT";"Inter ";"DF";32;1989;11;9;821;"9,12";1;0;0;10;4;1
175;"Federico Dimarco";"IT";"Inter ";"DF";24;1997;11;10;728;"8,09";2;0;0;7;9;1
183;"Denzel Dumfries";"IT";"Inter ";"DF";26;1996;12;10;885;"9,83";0;0;0;14;22;5
184;"Edin Džeko";"IT";"Inter ";"FW";36;1986;13;11;824;"9,16";2;0;0;13;14;2
224;"Roberto Gagliardini";"IT";"Inter ";"MF";28;1994;6;1;116;"1,29";1;0;0;6;3;0
246;"Robin Gosens";"IT";"Inter ";"DF";28;1994;11;3;426;"4,73";1;0;0;7;3;0
393;"Romelu Lukaku";"IT";"Inter ";"FW";29;1993;8;0;185;"2,06";1;0;0;5;1;0
412;"Lautaro Martínez";"IT";"Inter ";"FW";24;1997;13;12;997;"11,08";3;0;0;15;18;8
451;"Henrikh Mkhitaryan";"IT";"Inter ";"MF";33;1989;13;11;906;"10,07";2;0;0;14;12;2
501;"André Onana";"IT";"Inter ";"GK";26;1996;13;13;1;"0,01";2;0;0;0;2;0
619;"Milan Škriniar";"IT";"Inter ";"DF";27;1995;8;6;536;"5,96";0;0;0;6;2;0
703;"Stefan de Vrij";"IT";"Inter ";"DF";30;1992;7;3;299;"3,32";1;0;0;4;0;0
