"ID";"Jugador";"Pais";"Equipo";"Posicion";"Edad";"Nacimiento";"Partidos_jugados";"Partidos_titular";"Minutos_totales";"X90s";"Tarjetas_amarillas";"Tarjetas_rojas";"Segundas_tarjetas_amarillas";"Faltas_comprometidas";"Faltas_pitadas";"Fuera_de_juego"
51;"Fodé Ballo-Touré";"IT";"Milan ";"DF,MF";25;1997;4;1;135;"1,50";2;0;0;3;2;0
66;"Ismaël Bennacer";"IT";"Milan ";"MF";24;1997;10;9;585;"6,50";1;0;0;11;12;0
100;"Davide Calabria";"IT";"Milan ";"DF";25;1996;6;6;497;"5,52";2;0;0;6;4;0
158;"Charles De Ketelaere";"IT";"Milan ";"MF,FW";21;2001;6;3;234;"2,60";1;0;0;5;1;0
165;"Sergiño Dest";"IT";"Milan ";"DF";21;2000;4;1;191;"2,12";0;0;0;2;1;1
171;"Brahim Díaz";"IT";"Milan ";"MF,FW";22;1999;10;8;602;"6,69";1;0;0;11;23;0
222;"Matteo Gabbia";"IT";"Milan ";"DF";22;1999;4;2;211;"2,34";1;0;0;5;3;0
236;"Olivier Giroud";"IT";"Milan ";"FW";35;1986;12;12;932;"10,36";1;0;0;12;8;9
286;"Theo Hernández";"IT";"Milan ";"DF";24;1997;11;11;945;"10,50";2;0;0;13;23;2
321;"Pierre Kalulu";"IT";"Milan ";"DF";22;2000;10;8;751;"8,34";0;0;0;11;8;0
337;"Simon Kjær";"IT";"Milan ";"DF";33;1989;6;6;508;"5,64";0;0;0;5;0;0
360;"Rade Krunić";"IT";"Milan ";"MF,FW";28;1993;11;9;823;"9,14";4;0;0;7;10;0
372;"Rafael Leão";"IT";"Milan ";"FW,MF";23;1999;11;11;907;"10,08";0;0;0;11;17;1
399;"Mike Maignan";"IT";"Milan ";"GK";27;1995;7;7;630;"7,00";1;0;0;0;1;0
440;"Junior Messias";"IT";"Milan ";"FW,DF";31;1991;9;2;316;"3,51";0;0;0;5;2;2
504;"Divock Origi";"IT";"Milan ";"FW";27;1995;8;0;154;"1,71";1;0;0;3;2;2
540;"Tommaso Pobega";"IT";"Milan ";"MF";23;1999;8;0;163;"1,81";1;0;0;7;1;0
555;"Ante Rebić";"IT";"Milan ";"FW,MF";28;1993;7;2;249;"2,77";0;0;0;9;1;0
582;"Alexis Saelemaekers";"IT";"Milan ";"FW,DF";23;1999;8;4;371;"4,12";1;0;0;8;5;0
655;"Ciprian Tătărușanu";"IT";"Milan ";"GK";36;1986;5;5;450;"5,00";0;0;0;0;1;0
667;"Malick Thiaw";"IT";"Milan ";"DF";20;2001;4;3;275;"3,06";2;0;0;8;3;0
671;"Fikayo Tomori";"IT";"Milan ";"DF";24;1997;10;10;827;"9,19";4;1;0;14;2;0
672;"Sandro Tonali";"IT";"Milan ";"MF";22;2000;12;12;1;"0,01";3;0;0;13;18;2
