"ID";"Jugador";"Pais";"Equipo";"Posicion";"Edad";"Nacimiento";"Partidos_jugados";"Partidos_titular";"Minutos_totales";"X90s";"Tarjetas_amarillas";"Tarjetas_rojas";"Segundas_tarjetas_amarillas";"Faltas_comprometidas";"Faltas_pitadas";"Fuera_de_juego"
166;"Giovanni Di Lorenzo";"IT";"Napoli ";"DF";28;1993;10;10;888;"9,87";2;0;0;12;9;0
190;"Elif Elmas";"IT";"Napoli ";"FW,MF";22;1999;10;2;285;"3,17";1;0;0;5;5;0
223;"Gianluca Gaetano";"IT";"Napoli ";"MF";22;2000;3;0;31;"0,34";0;0;0;2;0;0
309;"Juan Jesus";"IT";"Napoli ";"DF";31;1991;3;2;205;"2,28";2;0;0;4;0;0
364;"Khvicha Kvaratskhelia";"IT";"Napoli ";"FW";21;2001;9;9;692;"7,69";0;0;0;4;8;0
386;"Stanislav Lobotka";"IT";"Napoli ";"MF";27;1994;10;10;873;"9,70";0;0;0;8;24;0
391;"Hirving Lozano";"IT";"Napoli ";"FW";27;1995;9;4;467;"5,19";0;0;0;7;7;3
438;"Alex Meret";"IT";"Napoli ";"GK";25;1997;10;10;900;"10,00";0;0;0;0;3;0
447;"Kim Min-jae";"IT";"Napoli ";"DF";25;1996;9;9;785;"8,72";3;0;0;9;1;0
480;"Tanguy Ndombele";"IT";"Napoli ";"MF";25;1996;9;3;373;"4,14";0;0;0;2;9;0
499;"Mathías Olivera";"IT";"Napoli ";"DF";24;1997;8;5;514;"5,71";1;0;0;6;7;0
507;"Victor Osimhen";"IT";"Napoli ";"FW";23;1998;6;5;421;"4,68";1;0;0;5;10;9
542;"Matteo Politano";"IT";"Napoli ";"FW";28;1993;9;6;403;"4,48";2;0;0;4;5;1
553;"Giacomo Raspadori";"IT";"Napoli ";"FW";22;2000;7;3;250;"2,78";1;0;0;4;5;1
573;"Amir Rrahmani";"IT";"Napoli ";"DF";28;1994;7;7;613;"6,81";2;0;0;7;2;0
576;"Mário Rui";"IT";"Napoli ";"DF";31;1991;6;5;386;"4,29";1;0;0;7;5;0
614;"Giovanni Simeone";"IT";"Napoli ";"FW";27;1995;7;2;263;"2,92";0;0;0;3;4;4
617;"Leo Skiri Østigård";"IT";"Napoli ";"DF";22;1999;3;2;197;"2,19";0;0;0;0;2;1
719;"Andre-Frank Zambo Anguissa";"IT";"Napoli ";"MF";26;1995;8;8;650;"7,22";2;1;1;17;16;0
720;"Alessandro Zanoli";"IT";"Napoli ";"DF";21;2000;2;0;12;"0,13";0;0;0;0;0;0
722;"Alessio Zerbin";"IT";"Napoli ";"FW";23;1999;3;0;56;"0,62";0;0;0;0;0;0
723;"Piotr Zieliński";"IT";"Napoli ";"MF";28;1994;10;8;619;"6,88";1;0;0;3;12;0
