"ID";"Jugador";"Pais";"Equipo";"Posicion";"Edad";"Nacimiento";"Partidos_jugados";"Partidos_titular";"Minutos_totales";"X90s";"Tarjetas_amarillas";"Tarjetas_rojas";"Segundas_tarjetas_amarillas";"Faltas_comprometidas";"Faltas_pitadas";"Fuera_de_juego"
13;"David Alaba";"ES";"Real Madrid";"DF";30;1992;11;9;711;"7,90";0;0;0;3;0;0
36;"Marco Asensio";"ES";"Real Madrid";"FW,MF";26;1996;12;2;324;"3,60";0;0;0;0;3;0
68;"Karim Benzema";"ES";"Real Madrid";"FW";34;1987;10;9;744;"8,27";0;0;0;4;2;3
102;"Eduardo Camavinga";"ES";"Real Madrid";"MF,DF";19;2002;11;8;721;"8,01";3;0;0;14;16;0
113;"Dani Carvajal";"ES";"Real Madrid";"DF";30;1992;11;10;869;"9,66";3;0;0;10;10;1
116;"Dani Ceballos";"ES";"Real Madrid";"MF";25;1996;7;0;86;"0,96";0;0;0;2;4;0
143;"Thibaut Courtois";"ES";"Real Madrid";"GK";30;1992;10;10;900;"10,00";0;0;0;0;0;0
277;"Eden Hazard";"ES";"Real Madrid";"FW,MF";31;1991;3;1;132;"1,47";0;0;0;0;2;0
317;"Vinicius Júnior";"ES";"Real Madrid";"FW";22;2000;12;11;972;"10,80";1;0;0;11;28;6
359;"Toni Kroos";"ES";"Real Madrid";"MF";32;1990;12;10;842;"9,36";2;0;0;6;11;0
395;"Andriy Lunin";"ES";"Real Madrid";"GK";23;1999;2;2;180;"2,00";0;0;0;0;0;0
406;"Mariano";"ES";"Real Madrid";"FW";28;1993;1;0;6;"0,07";0;0;0;0;0;0
437;"Ferland Mendy";"ES";"Real Madrid";"DF";27;1995;5;4;347;"3,86";1;0;0;3;4;0
445;"Éder Militão";"ES";"Real Madrid";"DF";24;1998;9;9;747;"8,30";3;0;0;14;9;0
453;"Luka Modrić";"ES";"Real Madrid";"MF";36;1985;10;9;743;"8,26";0;0;0;3;6;0
477;"Nacho";"ES";"Real Madrid";"DF";32;1990;8;4;440;"4,89";0;0;0;5;6;1
569;"Rodrygo";"ES";"Real Madrid";"FW";21;2001;12;10;819;"9,10";0;0;0;4;12;2
574;"Antonio Rüdiger";"ES";"Real Madrid";"DF";29;1993;10;6;678;"7,53";0;0;0;3;0;0
662;"Aurélien Tchouaméni";"ES";"Real Madrid";"MF";22;2000;10;5;432;"4,80";0;0;0;5;5;0
689;"Jesús Vallejo";"ES";"Real Madrid";"DF";25;1997;1;0;18;"0,20";0;0;0;0;0;0
690;"Federico Valverde";"ES";"Real Madrid";"MF,FW";24;1998;11;11;967;"10,74";0;0;0;10;5;1
694;"Lucas Vázquez";"ES";"Real Madrid";"DF";31;1991;5;2;202;"2,24";1;0;0;3;4;0
