"ID";"Jugador";"Pais";"Equipo";"Posicion";"Edad";"Nacimiento";"Partidos_jugados";"Partidos_titular";"Minutos_totales";"X90s";"Tarjetas_amarillas";"Tarjetas_rojas";"Segundas_tarjetas_amarillas";"Faltas_comprometidas";"Faltas_pitadas";"Fuera_de_juego"
34;"Kepa Arrizabalaga";"ENG";"Chelsea ";"GK";27;1994;9;9;810;"9,00";2;0;0;0;0;0
39;"Pierre-Emerick Aubameyang";"ENG";"Chelsea ";"FW";33;1989;6;6;403;"4,48";0;0;0;4;2;4
43;"César Azpilicueta";"ENG";"Chelsea ";"DF";32;1989;5;3;260;"2,89";0;0;0;4;4;0
91;"Armando Broja";"ENG";"Chelsea ";"FW";20;2001;5;0;116;"1,29";0;0;0;7;0;1
119;"Trevoh Chalobah";"ENG";"Chelsea ";"DF";23;1999;6;4;439;"4,88";0;0;0;1;3;0
123;"Ben Chilwell";"ENG";"Chelsea ";"DF,MF";25;1996;7;7;556;"6,18";1;1;0;10;11;2
145;"Marc Cucurella";"ENG";"Chelsea ";"DF";24;1998;8;4;414;"4,60";2;0;0;6;6;2
203;"João Félix";"ENG";"Chelsea ";"FW,MF";22;1999;4;3;244;"2,71";0;0;0;1;6;1
207;"Enzo Fernández";"ENG";"Chelsea ";"MF";21;2001;4;4;332;"3,69";1;0;0;4;4;0
212;"Wesley Fofana";"ENG";"Chelsea ";"DF";21;2000;5;5;397;"4,41";1;0;0;10;2;0
227;"Conor Gallagher";"ENG";"Chelsea ";"MF";22;2000;8;2;301;"3,34";2;0;0;5;6;0
276;"Kai Havertz";"ENG";"Chelsea ";"FW,MF";23;1999;10;7;619;"6,88";0;0;0;12;7;2
302;"Reece James";"ENG";"Chelsea ";"DF,MF";22;1999;8;8;691;"7,68";3;0;0;15;7;2
315;"Jorginho";"ENG";"Chelsea ";"MF";30;1991;6;4;418;"4,64";0;0;0;3;10;0
328;"N'Golo Kanté";"ENG";"Chelsea ";"MF";31;1991;2;2;164;"1,82";0;0;0;3;0;0
355;"Kalidou Koulibaly";"ENG";"Chelsea ";"DF";31;1991;7;7;568;"6,31";2;0;0;8;4;2
357;"Mateo Kovačić";"ENG";"Chelsea ";"MF";28;1994;8;8;621;"6,90";2;0;0;5;10;0
388;"Ruben Loftus-Cheek";"ENG";"Chelsea ";"MF";26;1996;7;2;285;"3,17";0;0;0;2;8;0
436;"Edouard Mendy";"ENG";"Chelsea ";"GK";30;1992;1;1;90;"1,00";0;0;0;0;0;0
466;"Mason Mount";"ENG";"Chelsea ";"MF";23;1999;9;5;441;"4,90";3;0;0;8;7;1
468;"Mykhailo Mudryk";"ENG";"Chelsea ";"FW,DF";21;2001;2;1;94;"1,04";1;0;0;3;2;1
546;"Christian Pulisic";"ENG";"Chelsea ";"DF,FW";23;1998;5;1;113;"1,26";0;0;0;2;3;1
612;"Thiago Silva";"ENG";"Chelsea ";"DF";37;1984;8;7;640;"7,11";2;0;0;5;6;0
637;"Raheem Sterling";"ENG";"Chelsea ";"FW,MF";27;1994;9;8;630;"7,00";1;0;0;15;7;7
718;"Denis Zakaria";"ENG";"Chelsea ";"MF";25;1996;2;1;74;"0,82";0;0;0;1;3;0
724;"Hakim Ziyech";"ENG";"Chelsea ";"FW,MF";29;1993;4;1;148;"1,64";1;0;0;3;3;1
