"Jugador";"Tarjetas_amarillas";"Tarjetas_rojas";"Minutos_totales";"tarjetas_recibidas";"tarjetas_por_minuto"
"Sandro Tonali";3;0;1;3;3
"Rúben Dias";2;0;1;2;2
"André Onana";2;0;1;2;2
"Valentin Carboni";1;0;15;1;0.0666666666666667
"Fodé Ballo-Touré";2;0;135;2;0.0148148148148148
"Marcel Sabitzer";3;0;280;3;0.0107142857142857
"Mykhailo Mudryk";1;0;94;1;0.0106382978723404
"Juan Jesus";2;0;205;2;0.00975609756097561
"Roberto Gagliardini";1;0;116;1;0.00862068965517241
"Benjamin Pavard";4;1;592;5;0.00844594594594595
"João Cancelo";1;0;123;1;0.00813008130081301
"Petar Musa";1;0;129;1;0.00775193798449612
"Malick Thiaw";2;0;275;2;0.00727272727272727
"Enzo Fernández";3;0;427;3;0.00702576112412178
"Mason Mount";3;0;441;3;0.00680272108843537
"Hakim Ziyech";1;0;148;1;0.00675675675675676
"Conor Gallagher";2;0;301;2;0.00664451827242525
"Divock Origi";1;0;154;1;0.00649350649350649
"Tommaso Pobega";1;0;163;1;0.00613496932515337
"Fikayo Tomori";4;1;827;5;0.0060459492140266
"Josip Stanišić";2;0;349;2;0.00573065902578797
"Romelu Lukaku";1;0;185;1;0.00540540540540541
"Noussair Mazraoui";2;0;392;2;0.00510204081632653
"Gilberto";1;0;201;1;0.00497512437810945
"Matteo Politano";2;0;403;2;0.00496277915632754
"Lucas Vázquez";1;0;202;1;0.00495049504950495
"Rade Krunić";4;0;823;4;0.00486026731470231
"Marc Cucurella";2;0;414;2;0.00483091787439614
"Matteo Gabbia";1;0;211;1;0.004739336492891
"Andre-Frank Zambo Anguissa";2;1;650;3;0.00461538461538462
"David Neres";2;0;444;2;0.0045045045045045
"Reece James";3;0;691;3;0.00434153400868307
"Charles De Ketelaere";1;0;234;1;0.00427350427350427
"Eduardo Camavinga";3;0;721;3;0.00416088765603329
"Davide Calabria";2;0;497;2;0.00402414486921529
"İlkay Gündoğan";4;0;994;4;0.00402414486921529
"Éder Militão";3;0;747;3;0.00401606425702811
"Giacomo Raspadori";1;0;250;1;0.004
"Kim Min-jae";3;0;785;3;0.00382165605095541
"Nicolás Otamendi";3;0;793;3;0.00378310214375788
"Joshua Kimmich";3;0;810;3;0.0037037037037037
"Ben Chilwell";1;1;556;2;0.00359712230215827
"Kalidou Koulibaly";2;0;568;2;0.00352112676056338
"Elif Elmas";1;0;285;1;0.00350877192982456
"Dani Carvajal";3;0;869;3;0.00345224395857307
"Aymeric Laporte";1;0;292;1;0.00342465753424658
"Stefan de Vrij";1;0;299;1;0.00334448160535117
"Sergio Gómez";0;1;305;1;0.00327868852459016
"Amir Rrahmani";2;0;613;2;0.0032626427406199
"Mateo Kovačić";2;0;621;2;0.00322061191626409
"Thiago Silva";2;0;640;2;0.003125
"Nicolò Barella";3;0;991;3;0.00302724520686176
"Enzo Fernández";1;0;332;1;0.00301204819277108
"Lautaro Martínez";3;0;997;3;0.00300902708124373
"Ferland Mendy";1;0;347;1;0.00288184438040346
"Gonçalo Ramos";2;0;712;2;0.00280898876404494
