"Jugador";"Tarjetas_amarillas";"Tarjetas_rojas";"Minutos_totales";"tarjetas_recibidas";"tarjetas_por_minuto"
"Mykhailo Mudryk";1;0;94;1;0.0106382978723404
"Mason Mount";3;0;441;3;0.00680272108843537
"Hakim Ziyech";1;0;148;1;0.00675675675675676
"Conor Gallagher";2;0;301;2;0.00664451827242525
"Marc Cucurella";2;0;414;2;0.00483091787439614
"Reece James";3;0;691;3;0.00434153400868307
"Ben Chilwell";1;1;556;2;0.00359712230215827
"Kalidou Koulibaly";2;0;568;2;0.00352112676056338
"Mateo Kovačić";2;0;621;2;0.00322061191626409
"Thiago Silva";2;0;640;2;0.003125
"Enzo Fernández";1;0;332;1;0.00301204819277108
"Wesley Fofana";1;0;397;1;0.00251889168765743
"Kepa Arrizabalaga";2;0;810;2;0.00246913580246914
"Raheem Sterling";1;0;630;1;0.00158730158730159
