"Jugador";"Tarjetas_amarillas";"Tarjetas_rojas";"Minutos_totales";"tarjetas_recibidas";"tarjetas_por_minuto"
"Rúben Dias";2;0;1;2;2
"İlkay Gündoğan";4;0;994;4;0.00402414486921529
"Aymeric Laporte";1;0;292;1;0.00342465753424658
"Sergio Gómez";0;1;305;1;0.00327868852459016
"João Cancelo";1;0;376;1;0.00265957446808511
"Phil Foden";1;0;384;1;0.00260416666666667
"Bernardo Silva";2;0;911;2;0.0021953896816685
"Manuel Akanji";2;0;945;2;0.00211640211640212
"Julián Álvarez";1;0;474;1;0.00210970464135021
"Ederson";2;0;990;2;0.00202020202020202
"Nathan Aké";1;0;608;1;0.00164473684210526
"Kevin De Bruyne";1;0;716;1;0.00139664804469274
"Erling Haaland";1;0;841;1;0.00118906064209275
"Jack Grealish";1;0;933;1;0.00107181136120043
"Rodri";1;0;995;1;0.00100502512562814
