"Jugador";"Tarjetas_amarillas";"Tarjetas_rojas";"Minutos_totales";"tarjetas_recibidas";"tarjetas_por_minuto"
"André Onana";2;0;1;2;2
"Valentin Carboni";1;0;15;1;0.0666666666666667
"Roberto Gagliardini";1;0;116;1;0.00862068965517241
"Romelu Lukaku";1;0;185;1;0.00540540540540541
"Stefan de Vrij";1;0;299;1;0.00334448160535117
"Nicolò Barella";3;0;991;3;0.00302724520686176
"Lautaro Martínez";3;0;997;3;0.00300902708124373
"Federico Dimarco";2;0;728;2;0.00274725274725275
"Edin Džeko";2;0;824;2;0.00242718446601942
"Robin Gosens";1;0;426;1;0.00234741784037559
"Henrikh Mkhitaryan";2;0;906;2;0.0022075055187638
"Alessandro Bastoni";2;0;983;2;0.00203458799593082
"Marcelo Brozović";1;0;549;1;0.00182149362477231
"Hakan Çalhanoğlu";1;0;804;1;0.00124378109452736
"Matteo Darmian";1;0;821;1;0.00121802679658952
"Francesco Acerbi";1;0;921;1;0.001085776330076
"Promedio";NA;NA;9566;25;0.00261342253815597
