"Jugador";"Tarjetas_amarillas";"Tarjetas_rojas";"Minutos_totales";"tarjetas_recibidas";"tarjetas_por_minuto";"Equipo"
"Marcel Sabitzer";3;0;280;3;0.0107142857142857;"Bayern"
"Benjamin Pavard";4;1;592;5;0.00844594594594595;"Bayern"
"João Cancelo";1;0;123;1;0.00813008130081301;"Bayern"
"Josip Stanišić";2;0;349;2;0.00573065902578797;"Bayern"
"Noussair Mazraoui";2;0;392;2;0.00510204081632653;"Bayern"
"Joshua Kimmich";3;0;810;3;0.0037037037037037;"Bayern"
"Dayot Upamecano";2;0;713;2;0.00280504908835905;"Bayern"
"Alphonso Davies";1;0;602;1;0.00166112956810631;"Bayern"
"Leon Goretzka";1;0;606;1;0.00165016501650165;"Bayern"
"Matthijs de Ligt";1;0;614;1;0.00162866449511401;"Bayern"
"Promedio";NA;NA;5081;21;0.00413304467624483;"Bayern"
"Petar Musa";1;0;129;1;0.00775193798449612;"Benfica"
"Enzo Fernández";3;0;427;3;0.00702576112412178;"Benfica"
"Gilberto";1;0;201;1;0.00497512437810945;"Benfica"
"David Neres";2;0;444;2;0.0045045045045045;"Benfica"
"Nicolás Otamendi";3;0;793;3;0.00378310214375788;"Benfica"
"Gonçalo Ramos";2;0;712;2;0.00280898876404494;"Benfica"
"Florentino Luís";2;0;859;2;0.00232828870779977;"Benfica"
"João Mário";2;0;861;2;0.00232288037166086;"Benfica"
"Alexander Bah";1;0;654;1;0.00152905198776758;"Benfica"
"Rafa Silva";1;0;819;1;0.00122100122100122;"Benfica"
"António Silva";1;0;894;1;0.00111856823266219;"Benfica"
"Promedio";NA;NA;6793;19;0.00279699690858236;"Benfica"
"Mykhailo Mudryk";1;0;94;1;0.0106382978723404;"Chelsea"
"Mason Mount";3;0;441;3;0.00680272108843537;"Chelsea"
"Hakim Ziyech";1;0;148;1;0.00675675675675676;"Chelsea"
"Conor Gallagher";2;0;301;2;0.00664451827242525;"Chelsea"
"Marc Cucurella";2;0;414;2;0.00483091787439614;"Chelsea"
"Reece James";3;0;691;3;0.00434153400868307;"Chelsea"
"Ben Chilwell";1;1;556;2;0.00359712230215827;"Chelsea"
"Kalidou Koulibaly";2;0;568;2;0.00352112676056338;"Chelsea"
"Mateo Kovačić";2;0;621;2;0.00322061191626409;"Chelsea"
"Thiago Silva";2;0;640;2;0.003125;"Chelsea"
"Enzo Fernández";1;0;332;1;0.00301204819277108;"Chelsea"
"Wesley Fofana";1;0;397;1;0.00251889168765743;"Chelsea"
"Kepa Arrizabalaga";2;0;810;2;0.00246913580246914;"Chelsea"
"Raheem Sterling";1;0;630;1;0.00158730158730159;"Chelsea"
"Promedio";NA;NA;6643;25;0.00376335992774349;"Chelsea"
"Rúben Dias";2;0;1;2;2;"City"
"İlkay Gündoğan";4;0;994;4;0.00402414486921529;"City"
"Aymeric Laporte";1;0;292;1;0.00342465753424658;"City"
"Sergio Gómez";0;1;305;1;0.00327868852459016;"City"
"João Cancelo";1;0;376;1;0.00265957446808511;"City"
"Phil Foden";1;0;384;1;0.00260416666666667;"City"
"Bernardo Silva";2;0;911;2;0.0021953896816685;"City"
"Manuel Akanji";2;0;945;2;0.00211640211640212;"City"
"Julián Álvarez";1;0;474;1;0.00210970464135021;"City"
"Ederson";2;0;990;2;0.00202020202020202;"City"
"Nathan Aké";1;0;608;1;0.00164473684210526;"City"
"Kevin De Bruyne";1;0;716;1;0.00139664804469274;"City"
