"Jugador";"Tarjetas_amarillas";"Tarjetas_rojas";"Minutos_totales";"tarjetas_recibidas";"tarjetas_por_minuto"
"Marcel Sabitzer";3;0;280;3;0.0107142857142857
"Benjamin Pavard";4;1;592;5;0.00844594594594595
"João Cancelo";1;0;123;1;0.00813008130081301
"Josip Stanišić";2;0;349;2;0.00573065902578797
"Noussair Mazraoui";2;0;392;2;0.00510204081632653
"Joshua Kimmich";3;0;810;3;0.0037037037037037
"Dayot Upamecano";2;0;713;2;0.00280504908835905
"Alphonso Davies";1;0;602;1;0.00166112956810631
"Leon Goretzka";1;0;606;1;0.00165016501650165
"Matthijs de Ligt";1;0;614;1;0.00162866449511401
