"Jugador";"Tarjetas_amarillas";"Tarjetas_rojas";"Minutos_totales";"tarjetas_recibidas";"tarjetas_por_minuto"
"Petar Musa";1;0;129;1;0.00775193798449612
"Enzo Fernández";3;0;427;3;0.00702576112412178
"Gilberto";1;0;201;1;0.00497512437810945
"David Neres";2;0;444;2;0.0045045045045045
"Nicolás Otamendi";3;0;793;3;0.00378310214375788
"Gonçalo Ramos";2;0;712;2;0.00280898876404494
"Florentino Luís";2;0;859;2;0.00232828870779977
"João Mário";2;0;861;2;0.00232288037166086
"Alexander Bah";1;0;654;1;0.00152905198776758
"Rafa Silva";1;0;819;1;0.00122100122100122
"António Silva";1;0;894;1;0.00111856823266219
"Promedio";NA;NA;6793;19;0.00279699690858236
