"Jugador";"Tarjetas_amarillas";"Tarjetas_rojas";"Minutos_totales";"tarjetas_recibidas";"tarjetas_por_minuto"
"Sandro Tonali";3;0;1;3;3
"Fodé Ballo-Touré";2;0;135;2;0.0148148148148148
"Malick Thiaw";2;0;275;2;0.00727272727272727
"Divock Origi";1;0;154;1;0.00649350649350649
"Tommaso Pobega";1;0;163;1;0.00613496932515337
"Fikayo Tomori";4;1;827;5;0.0060459492140266
"Rade Krunić";4;0;823;4;0.00486026731470231
"Matteo Gabbia";1;0;211;1;0.004739336492891
"Charles De Ketelaere";1;0;234;1;0.00427350427350427
"Davide Calabria";2;0;497;2;0.00402414486921529
"Alexis Saelemaekers";1;0;371;1;0.00269541778975741
"Theo Hernández";2;0;945;2;0.00211640211640212
"Ismaël Bennacer";1;0;585;1;0.00170940170940171
"Brahim Díaz";1;0;602;1;0.00166112956810631
"Mike Maignan";1;0;630;1;0.00158730158730159
"Olivier Giroud";1;0;932;1;0.00107296137339056
"Promedio";NA;NA;7385;29;0.0039268788083954
