"Jugador";"Tarjetas_amarillas";"Tarjetas_rojas";"Minutos_totales";"tarjetas_recibidas";"tarjetas_por_minuto"
"Juan Jesus";2;0;205;2;0.00975609756097561
"Matteo Politano";2;0;403;2;0.00496277915632754
"Andre-Frank Zambo Anguissa";2;1;650;3;0.00461538461538462
"Giacomo Raspadori";1;0;250;1;0.004
"Kim Min-jae";3;0;785;3;0.00382165605095541
"Elif Elmas";1;0;285;1;0.00350877192982456
"Amir Rrahmani";2;0;613;2;0.0032626427406199
"Mário Rui";1;0;386;1;0.00259067357512953
"Victor Osimhen";1;0;421;1;0.00237529691211401
"Giovanni Di Lorenzo";2;0;888;2;0.00225225225225225
"Mathías Olivera";1;0;514;1;0.00194552529182879
"Piotr Zieliński";1;0;619;1;0.00161550888529887
"Promedio";NA;NA;6019;20;0.00332281109818907
